invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_pct,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating
101-17-6199,West,Yorktown,Not member,Male,Electronics,50.79,7,28.4424,383.9724,3/13/2023 0:00,19:44:00,Cash,320.53,4.761904716,28.4424,7
101-81-4070,South,Newtown,Member,Female,Health and Wellness,67.82,2,10.8512,146.4912,1/17/2023 0:00,12:36:00,Credit Card,125.64,4.761904716,10.8512,4.9
102-06-2002,South,Newtown,Member,Male,Automotive,30.25,5,12.1,163.35,3/20/2023 0:00,17:52:00,Mobile app,126.25,4.761904716,12.1,6.1
102-77-2261,South,Newtown,Member,Male,Health and Wellness,70.31,7,39.3736,531.5436,3/5/2023 0:00,18:02:00,Cash,457.17,4.761904716,39.3736,4.2
105-10-6182,West,Yorktown,Member,Male,Clothing and Apparel,26.48,2,4.2368,57.1968,2/27/2023 0:00,12:22:00,Credit Card,42.96,4.761904716,4.2368,6.6
105-31-1824,West,Yorktown,Member,Male,Automotive,74.52,7,41.7312,563.3712,2/1/2023 0:00,15:10:00,Cash,486.64,4.761904716,41.7312,8.5
106-35-6779,West,Yorktown,Member,Male,Groceries,49.34,2,7.8944,106.5744,3/27/2023 0:00,11:26:00,Mobile app,88.68,4.761904716,7.8944,5.8
109-28-2512,East,McCordsville,Member,Female,Clothing and Apparel,102.61,6,49.2528,664.9128,1/7/2023 0:00,15:01:00,Credit Card,585.66,4.761904716,49.2528,9.9
109-86-4363,East,McCordsville,Member,Female,Automotive,65.08,7,36.4448,492.0048,2/14/2023 0:00,11:36:00,Cash,420.56,4.761904716,36.4448,4.5
110-05-6330,South,Newtown,Not member,Female,Electronics,44.43,6,21.3264,287.9064,3/25/2023 0:00,20:18:00,Cash,236.58,4.761904716,21.3264,9.4
110-48-7033,East,McCordsville,Member,Male,Clothing and Apparel,37.62,4,12.0384,162.5184,1/29/2023 0:00,14:12:00,Mobile app,130.48,4.761904716,12.0384,9
114-35-5271,East,McCordsville,Not member,Female,Sports and Outdoors,62.91,8,40.2624,543.5424,2/7/2023 0:00,15:06:00,Mobile app,463.28,4.761904716,40.2624,8.1
115-38-7388,South,Newtown,Member,Female,Clothing and Apparel,15.18,8,9.7152,131.1552,3/30/2023 0:00,12:51:00,Cash,81.44,4.761904716,9.7152,9.5
115-99-4379,East,McCordsville,Member,Female,Clothing and Apparel,59.73,7,33.4488,451.5588,3/14/2023 0:00,19:02:00,Cash,383.11,4.761904716,33.4488,8.5
118-62-1812,South,Newtown,Member,Female,Groceries,83.38,4,26.6816,360.2016,3/24/2023 0:00,17:56:00,Mobile app,313.52,4.761904716,26.6816,7.9
120-06-4233,South,Newtown,Not member,Male,Sports and Outdoors,35.61,6,17.0928,230.7528,3/12/2023 0:00,20:36:00,Mobile app,183.66,4.761904716,17.0928,9.3
120-54-2248,East,McCordsville,Not member,Female,Electronics,33.86,5,13.544,182.844,1/22/2023 0:00,18:08:00,Cash,144.3,4.761904716,13.544,8
122-61-9553,South,Newtown,Not member,Female,Sports and Outdoors,56.32,9,40.5504,547.4304,3/14/2023 0:00,19:33:00,Mobile app,461.88,4.761904716,40.5504,5.6
123-19-1176,West,Yorktown,Member,Male,Health and Wellness,63.22,8,40.4608,546.2208,1/27/2023 0:00,20:33:00,Credit Card,465.76,4.761904716,40.4608,8.4
123-35-4896,South,Newtown,Not member,Female,Automotive,51.66,9,37.1952,502.1352,2/17/2023 0:00,19:11:00,Credit Card,419.94,4.761904716,37.1952,5.3
124-31-1458,West,Yorktown,Member,Female,Sports and Outdoors,84.59,3,20.3016,274.0716,1/8/2023 0:00,14:30:00,Mobile app,238.77,4.761904716,20.3016,6.6
125-45-2293,West,Yorktown,Not member,Female,Clothing and Apparel,104.1,6,49.968,674.568,1/19/2023 0:00,13:11:00,Mobile app,594.6,4.761904716,49.968,4.2
126-54-1082,West,Yorktown,Member,Female,Groceries,26.54,9,19.1088,257.9688,1/7/2023 0:00,11:44:00,Cash,193.86,4.761904716,19.1088,8.8
127-47-6963,West,Yorktown,Not member,Male,Health and Wellness,56.71,4,18.1472,244.9872,3/9/2023 0:00,13:53:00,Cash,206.84,4.761904716,18.1472,9.8
129-29-8530,West,Yorktown,Member,Male,Automotive,67.62,5,27.048,365.148,3/10/2023 0:00,19:15:00,Credit Card,313.1,4.761904716,27.048,7
130-67-4723,West,Yorktown,Member,Male,Electronics,53.5,6,25.68,346.68,1/11/2023 0:00,13:57:00,Credit Card,291,4.761904716,25.68,9.4
130-98-8941,South,Newtown,Not member,Male,Clothing and Apparel,69.26,7,38.7856,523.6056,2/9/2023 0:00,10:00:00,Mobile app,449.82,4.761904716,38.7856,5.7
